Error,WPM,RawLength
0.0,10.281654776140122,4
16.666666666666664,7.57733248738515,6
11.11111111111111,12.789613089667963,9
0.0,14.341989935599875,9
0.0,8.520699414045021,7
0.0,10.95490562532767,15
0.0,10.960598918758253,14
0.0,12.684757860830729,12
0.0,12.966653565624783,15
5.0,13.302439873926746,20
0.0,12.098985973438277,20
0.0,10.296853682626809,20
7.6923076923076925,11.400055128728592,13
0.0,9.929742928656191,20
0.0,13.11272623387869,20
0.0,12.377164152408476,20
0.0,15.63570309053142,20
0.0,12.262576335892705,20
0.0,13.764746970551784,20
0.0,14.61823374476873,20
100.0,0.0,1
0.0,11.616102391048017,20
0.0,14.07664502502259,20
0.0,14.599711266264926,20
0.0,13.653778461677195,20
0.0,14.485377369877131,20
0.0,13.582786097975317,20
0.0,22.490456884476117,20
5.0,18.83810933262354,20
0.0,14.90365918764466,20
0.0,14.37317993606011,20
0.0,18.020282664550372,20
0.0,22.86942653623258,20
0.0,22.85391009755642,20
90.0,1.7526205278599718,10
95.0,1.1008141665020916,20
0.0,21.932338409397936,20
