Error,WPM,RawLength
0.0,10.281654776140122,4
16.666666666666664,7.57733248738515,6
11.11111111111111,12.789613089667963,9
0.0,14.341989935599875,9
0.0,8.520699414045021,7
0.0,10.95490562532767,15
0.0,10.960598918758253,14
0.0,12.684757860830729,12
0.0,12.966653565624783,15
5.0,13.302439873926746,20
0.0,12.098985973438277,20
0.0,10.296853682626809,20
7.6923076923076925,11.400055128728592,13
0.0,9.929742928656191,20
0.0,13.11272623387869,20
0.0,12.377164152408476,20
0.0,15.63570309053142,20
0.0,12.262576335892705,20
0.0,13.764746970551784,20
0.0,14.61823374476873,20
0.0,11.616102391048017,20
0.0,14.07664502502259,20
0.0,14.599711266264926,20
0.0,13.653778461677195,20
0.0,14.485377369877131,20
0.0,13.582786097975317,20
0.0,22.490456884476117,20
5.0,18.83810933262354,20
0.0,14.90365918764466,20
0.0,14.37317993606011,20
0.0,18.020282664550372,20
0.0,22.86942653623258,20
0.0,22.85391009755642,20
0.0,21.932338409397936,20
0.0,15.918097583507532,20
0.0,25.216249386457818,20
0.0,20.742577334683787,20
0.0,19.16663858139185,20
0.0,27.07989971149784,20
0.0,27.176484504473734,20
0.0,20.98000250056244,20
0.0,18.607269737320227,20
0.0,22.641918661436915,20
5.0,20.376672112584615,20
0.0,21.810781737186126,20
0.0,20.668420241464073,20
0.0,22.045434725790376,20
0.0,21.26020622795162,20
5.0,18.542181939664054,20
0.0,21.46461405262755,20
0.0,20.772634427899423,20
0.0,25.971008183349365,20
0.0,19.932816395165762,20
0.0,24.216806377850297,20
5.0,20.031190161359355,20
0.0,18.449937992348318,20
0.0,22.478878516711113,20
0.0,19.95595351707342,20
0.0,20.505110530621955,20
0.0,27.55154863369298,20
0.0,23.734150535864092,20
0.0,20.455498217375617,20
0.0,26.061573297201498,20
0.0,21.388467806231237,20
0.0,22.799169125547714,20
0.0,19.79261780412811,20
0.0,18.02430131300099,20
0.0,21.340041278445526,20
0.0,18.955370638378813,20
0.0,16.70932527239093,20
5.0,21.275885127337993,20
0.0,16.49333703801117,20
0.0,22.535759919196163,20
NaN,0.0,0
0.0,19.391792985507994,19
0.0,20.899840065638916,20
0.0,18.096270513911573,20
0.0,19.048233888326614,20
0.0,20.111153876539447,20
5.0,21.600459794754084,20
10.0,17.889025371774263,20
25.0,22.617443445398305,20
10.0,20.89769974775676,20
10.0,25.538917910033266,20
0.0,15.945368213504894,20
0.0,21.852418755163374,20
5.0,19.430655071527315,20
0.0,23.581243914953106,20
0.0,30.801381979127065,20
15.0,21.500267749463532,20
5.0,19.627093830417248,20
15.0,18.535071916653624,20
42.857142857142854,15.305236330132269,21
0.0,26.006055729697803,20
5.0,17.433209111867118,20
0.0,21.195148126796653,20
